v1,v2,Unnamed: 2,Unnamed: 3,Unnamed: 4
ham,"Hi Shanil,Rakhesh here.thanks,i have exchanged the uncut diamond stuff.leaving back. Excellent service by Dino and Prem.",,,
ham,Oh ok..,,,
ham,"Yeah why not, is the gang all ready",,,
spam,"HOT LIVE FANTASIES call now 08707509020 Just 20p per min NTT Ltd, PO Box 1327 Croydon CR9 5WB 0870 is a national rate call",,,
ham,I don't want you to leave. But i'm barely doing what i can to stay sane. fighting with you constantly isn't helping.,,,
ham,You could have seen me..i did't recognise you Face.:),,,
ham,Come by our room at some point so we can iron out the plan for this weekend,,,
ham,No just send to you. Bec you in temple na.,,,
spam,Hard LIVE 121 chat just 60p/min. Choose your girl and connect LIVE. Call 09094646899 now! Cheap Chat UK's biggest live service. VU BCM1896WC1N3XX,,,
ham,"Ah, well that confuses things, doesn‰Û÷t it?",,,
ham,SERIOUSLY. TELL HER THOSE EXACT WORDS RIGHT NOW.,,,
ham,Nah dub but je still buff,,,
ham,"Depends on quality. If you want the type i sent boye, faded glory, then about 6. If you want ralphs maybe 2",,,
ham,Ill be at yours in about 3 mins but look out for me,,,
spam,Free entry in 2 a wkly comp to win FA Cup final tkts 21st May 2005. Text FA to 87121 to receive entry question(std txt rate)T&C's apply 08452810075over18's,,,
ham,"Could you not read me, my Love ? I answered you",,,
ham,"Aight fuck it, I'll get it later",,,
ham,What's the significance?,,,
ham,I'm in town now so i'll jus take mrt down later.,,,
spam,URGENT! We are trying to contact U. Todays draw shows that you have won a å£800 prize GUARANTEED. Call 09050001295 from land line. Claim A21. Valid 12hrs only,,,
ham,I'll talk to the others and probably just come early tomorrow then,,,
ham,I might go 2 sch. Yar at e salon now v boring.,,,
ham,No objection. My bf not coming.,,,
ham,Ok lor wat time Ì_ finish?,,,
ham,Oh thanks a lot..i already bought 2 eggs ..,,,
ham,"Hi, Mobile no.  &lt;#&gt;  has added you in their contact list on www.fullonsms.com It s a great place to send free sms to people For more visit fullonsms.com",,,
ham,"Hmmm ... And imagine after you've come home from that having to rub my feet, make me dinner and help me get ready for my date ! Are you sure your ready for that kind of life ?",,,
ham,Why she wants to talk to me,,,
ham,"Yeah I should be able to, I'll text you when I'm ready to meet up",,,
ham,"Hello lover! How goes that new job? Are you there now? Are you happy? Do you think of me? I wake, my slave and send you a teasing kiss from across the sea",,,
spam,"FreeMsg: Claim ur 250 SMS messages-Text OK to 84025 now!Use web2mobile 2 ur mates etc. Join Txt250.com for 1.50p/wk. T&C BOX139, LA32WU. 16 . Remove txtX or stop",,,
ham,Your opinion about me? 1. Over 2. Jada 3. Kusruthi 4. Lovable 5. Silent 6. Spl character 7. Not matured 8. Stylish 9. Simple Pls reply..,,,
ham,Oh... Lk tt den we take e one tt ends at cine lor... Dun wan yogasana oso can... ,,,
ham,Me fine..absolutly fine,,,
ham,Pls tell nelson that the bb's are no longer comin. The money i was expecting aint coming,,,
ham,Where are you call me.,,,
ham,"It's fine, imma get a drink or somethin. Want me to come find you?",,,
spam,URGENT! Your Mobile number has been awarded with a å£2000 prize GUARANTEED. Call 09061790121 from land line. Claim 3030. Valid 12hrs only 150ppm,,,
ham,Where in abj are you serving. Are you staying with dad or alone.,,,
ham,"Oh, the grand is having a bit of a party but it doesn't mention any cover charge so it's probably first come first served",,,
ham,Please reserve ticket on saturday eve from chennai to thirunelvali and again from tirunelvali to chennai on sunday eve...i already see in net..no ticket available..i want to book ticket through tackle ..,,,
ham,Even if he my friend he is a priest call him now,,,
ham,"Oh really? perform, write a paper, go to a movie AND be home by midnight, huh?",,,
ham,Free any day but i finish at 6 on mon n thurs...,,,
ham,Great. P diddy is my neighbor and comes for toothpaste every morning,,,
spam,"WELL DONE! Your 4* Costa Del Sol Holiday or å£5000 await collection. Call 09050090044 Now toClaim. SAE, TCs, POBox334, Stockport, SK38xh, Costå£1.50/pm, Max10mins",,,
ham,"How's my loverboy doing ? What does he do that keeps him from coming to his Queen, hmmm ? Doesn't he ache to speak to me ? Miss me desparately ?",,,
ham,I cant pick the phone right now. Pls send a message,,,
ham,"Especially since i talk about boston all up in my personal statement, lol! I woulda changed that if i had realized it said nyc! It says boston now.",,,
ham,I'm always on yahoo messenger now. Just send the message to me and i.ll get it you may have to send it in the mobile mode sha but i.ll get it. And will reply.,,,
ham,Take something for pain. If it moves however to any side in the next 6hrs see a doctor.,,,
ham,"Japanese Proverb: If one Can do it, U too Can do it, If none Can do it,U must do it Indian version: If one Can do it, LET HIM DO it.. If none Can do it,LEAVE it!! And finally Kerala version: If one can do it, Stop him doing it.. If none can do it, Make a strike against it ...",,,
ham,Lol your right. What diet? Everyday I cheat anyway. I'm meant to be a fatty :(,,,
ham,R u saying i should re order the slippers cos i had to pay for returning it.,,,
ham,Its ok my arm is feeling weak cuz i got a shot so we can go another time,,,
ham,I didn't get the second half of that message,,,
ham,Host-based IDPS for linux systems.,,,
ham,No..jst change tat only..,,,
ham,You need to get up. Now.,,,
ham,I finished my lunch already. U wake up already?,,,
ham,NEFT Transaction with reference number  &lt;#&gt;  for Rs. &lt;DECIMAL&gt;  has been credited to the beneficiary account on  &lt;#&gt;  at  &lt;TIME&gt; : &lt;#&gt;,,,
spam,I'd like to tell you my deepest darkest fantasies. Call me 09094646631 just 60p/min. To stop texts call 08712460324 (nat rate),,,
spam,URGENT! Your Mobile number has been awarded with a å£2000 prize GUARANTEED. Call 09061790121 from land line. Claim 3030. Valid 12hrs only 150ppm,,,
ham,On ma way to school. Can you pls send me ashley's number,,,
ham,"Finally it has happened..! Aftr decades..! BEER is now cheaper than PETROL! The goverment expects us to \DRINK\"". . . But don't \""DRIVE \""""",,,
ham,I think steyn surely get one wicket:),,,
ham,Where can download clear movies. Dvd copies.,,,
spam,SMS. ac Sptv: The New Jersey Devils and the Detroit Red Wings play Ice Hockey. Correct or Incorrect? End? Reply END SPTV,,,
ham," came to look at the flat, seems ok, in his 50s? * Is away alot wiv work. Got woman coming at 6.30 too.",,,
ham,Glad to see your reply.,,,
ham,Nice line said by a broken heart- Plz don't cum 1 more times infront of me... Other wise once again I ll trust U... Good 9t:),,,
ham,I will cme i want to go to hos 2morow. After that i wil cme. This what i got from her dear what to do. She didnt say any time,,,
ham,ÌÏ dun wan to watch infernal affair?,,,
spam,You are a winner you have been specially selected to receive å£1000 cash or a å£2000 award. Speak to a live operator to claim call 087147123779am-7pm. Cost 10p,,,
ham,Nope... C Ì_ then...,,,
ham,Not yet. Just i'd like to keep in touch and it will be the easiest way to do that from barcelona. By the way how ru and how is the house?,,,
ham,I think if he rule tamilnadu..then its very tough for our people.,,,
ham,Ard 530 lor. I ok then message Ì_ lor.,,,
ham,K still are you loving me.,,,
ham,Im just wondering what your doing right now?,,,
ham,Somebody set up a website where you can play hold em using eve online spacebucks,,,
ham,E admin building there? I might b slightly earlier... I'll call u when i'm reaching...,,,
ham,Wat time Ì_ wan today?,,,
ham,"Yeah, probably earlier than that",,,
ham,"Abeg, make profit. But its a start. Are you using it to get sponsors for the next event?",,,
ham,They will pick up and drop in car.so no problem..,,,
ham,India have to take lead:),,,
ham,Did you try making another butt.,,,
ham,"Camera quite good, 10.1mega pixels, 3optical and 5digital dooms. Have a lovely holiday, be safe and i hope you hav a good journey! Happy new year to you both! See you in a couple of weeks! ",,,
ham,Sounds like there could be a lot of time spent in that chastity device boy ... *grins* ... Or take your beatings like a good dog. Going to lounge in a nice long bath now ?,,,
ham,Please ask mummy to call father,,,
ham,"Sorry, I'll call later",,,
ham,Hi dis is yijue i would be happy to work wif Ì_ all for gek1510...,,,
ham,Huh so slow i tot u reach long ago liao... U 2 more days only i 4 more leh...,,,
spam,FREE>Ringtone! Reply REAL or POLY eg REAL1 1. PushButton 2. DontCha 3. BabyGoodbye 4. GoldDigger 5. WeBeBurnin 1st tone FREE and 6 more when u join for å£3/wk,,,
ham,You bad girl. I can still remember them,,,
ham,"Idk. You keep saying that you're not, but since he moved, we keep butting heads over freedom vs. responsibility. And i'm tired. I have so much other shit to deal with that i'm barely keeping myself together once this gets added to it.",,,
ham,They are just making it easy to pay back. I have  &lt;#&gt; yrs to say but i can pay back earlier. You get?,,,
ham,3 pa but not selected.,,,
ham,How did you find out in a way that didn't include all of these details,,,
ham,I can do that! I want to please you both inside and outside the bedroom...,,,
ham,"Good afternoon on this glorious anniversary day, my sweet J !! I hope this finds you happy and content, my Prey. I think of you and send a teasing kiss from across the sea coaxing images of fond souveniers ... You Cougar-Pen",,,
ham,"I don't think I can get away for a trek that long with family in town, sorry",,,
spam,HMV BONUS SPECIAL 500 pounds of genuine HMV vouchers to be won. Just answer 4 easy questions. Play Now! Send HMV to 86688 More info:www.100percent-real.com,,,
ham,I came hostel. I m going to sleep. Plz call me up before class. Hrishi.,,,
ham,Mine here like all fr china then so noisy.,,,
ham,"Just making dinner, you ?",,,
ham,WHITE FUDGE OREOS ARE IN STORES,,,
ham,"It's wylie, you in tampa or sarasota?",,,
ham,Okay but i thought you were the expert,,,
ham,Let there be snow. Let there be snow. This kind of weather brings ppl together so friendships can grow.,,,
ham,"I met you as a stranger and choose you as my friend. As long as the world stands, our friendship never ends. Lets be Friends forever!!! Gud nitz...",,,
ham,Pls ask macho how much is budget for bb bold 2 is cos i saw a new one for  &lt;#&gt;  dollars.,,,
ham,Yes..he is really great..bhaji told kallis best cricketer after sachin in world:).very tough to get out.,,,
ham,"Hello, hello, hi lou sorry it took so long 2 reply- I left mobile at friends in Lancaster, just got it bak Neway im sorry I couldnåÕt make ur båÕday 2 hun!",,,
ham,"\Life is nothing wen v get everything\"". But \""life is everything wen v miss something \"". Real value of people wil be realized only in their absence.... gud mrng""",,,
ham,Well that must be a pain to catch,,,
ham,"I'm gonna be home soon and i don't want to talk about this stuff anymore tonight, k? I've cried enough today.",,,
spam,"Mila, age23, blonde, new in UK. I look sex with UK guys. if u like fun with me. Text MTALK to 69866.18 . 30pp/txt 1st 5free. å£1.50 increments. Help08718728876",,,
ham,Good evening! this is roger. How are you?,,,
ham,Ok.ok ok..then..whats ur todays plan,,,
ham,"Dear friends, sorry for the late information. Today is the birthday of our loving Ar.Praveesh. for more details log on to face book and see. Its his number + &lt;#&gt; . Dont miss a delicious treat.",,,
spam,Please call our customer service representative on 0800 169 6031 between 10am-9pm as you have WON a guaranteed å£1000 cash or å£5000 prize!,,,
ham,Customer place i will call you.,,,
ham,I got to video tape pple type in message lor. U so free wan 2 help me? Hee... Cos i noe u wan 2 watch infernal affairs so ask u along. Asking shuhui oso.,,,
ham,I sent your maga that money yesterday oh.,,,
ham,Well. You know what i mean. Texting,,,
ham,How do you plan to manage that,,,
ham,"Watching cartoon, listening music &amp; at eve had to go temple &amp; church.. What about u?",,,
ham,Oops. 4 got that bit.,,,
ham,HI BABE IM AT HOME NOW WANNA DO SOMETHING? XX,,,
ham,Send me your resume:-),,,
spam,YOU HAVE WON! As a valued Vodafone customer our computer has picked YOU to win a å£150 prize. To collect is easy. Just call 09061743386 ,,,
ham,K I'll take care of it,,,
ham,How are you with moneY...as in to you...money aint a thing....how are you sha!,,,
ham,Aiyo please Ì_ got time meh.,,,
ham,Hi this is yijue... It's regarding the 3230 textbook it's intro to algorithms second edition... I'm selling it for $50...,,,
ham,I am in tirupur.  call you da.,,,
ham,This pen thing is beyond a joke. Wont a Biro do? Don't do a masters as can't do this ever again! ,,,
ham,"Sorry, I'll call later in meeting any thing related to trade please call Arul. &lt;#&gt; ",,,
ham,yes baby! I need to stretch open your pussy!,,,
spam,"Wan2 win a Meet+Greet with Westlife 4 U or a m8? They are currently on what tour? 1)Unbreakable, 2)Untamed, 3)Unkempt. Text 1,2 or 3 to 83049. Cost 50p +std text",,,
spam,URGENT! We are trying to contact U. Todays draw shows that you have won a å£800 prize GUARANTEED. Call 09050003091 from land line. Claim C52. Valid 12hrs only,,,
ham,Friendship poem: Dear O Dear U R Not Near But I Can Hear Dont Get Fear Live With Cheer No More Tear U R Always my Dear. Gud ni8,,,
spam,Not heard from U4 a while. Call me now am here all night with just my knickers on. Make me beg for it like U did last time 01223585236 XX Luv Nikiyu4.net,,,
spam,FreeMsg Hi baby wow just got a new cam moby. Wanna C a hot pic? or Fancy a chat?Im w8in 4uTxt / rply CHAT to 82242 Hlp 08712317606 Msg150p 2rcv,,,
ham,"I don,t think so. You don't need to be going out that late on a school night. ESPECIALLY when the one class you have is the one you missed last wednesday and probably failed a test in on friday",,,
ham,"And that is the problem. You walk around in \julianaland\"" oblivious to what is going on around you. I say the same things constantly and they go in one ear and out the other while you go off doing whatever you want to do. It's not that you don't know why I'm upset--it's that you don't listen when i tell you WHAT is going to upset me. Then you want to be surprised when I'm mad.""",,,
ham,Yep. I do like the pink furniture tho.,,,
ham,"Aldrine, rakhesh ex RTM here.pls call.urgent.",,,
ham,And now electricity just went out fml.,,,
ham,What to think no one saying clearly. Ok leave no need to ask her. I will go if she come or not,,,
ham,"Sorry, I'll call later",,,
ham,....photoshop makes my computer shut down.,,,
ham,No probs hon! How u doinat the mo?,,,
ham,Are you available for soiree on June 3rd?,,,
ham,I was gonna ask you lol but i think its at 7,,,
ham,"Urgh, coach hot, smells of chip fat! Thanks again, especially for the duvet (not a predictive text word).",,,
ham,Thanks for sending this mental ability question..,,,
ham,I'm vivek:)i got call from your number.,,,
spam,Do you want a NEW video phone750 anytime any network mins 150 text for only five pounds per week call 08000776320 now or reply for delivery tomorrow,,,
ham,Dont put your phone on silent mode ok,,,
ham,Oh thats late! Well have a good night and i will give u a call tomorrow. Iam now going to go to sleep night night,,,
ham,Do u knw dis no. &lt;#&gt; ?,,,
ham,At home also.,,,
ham,Mum not going robinson already.,,,
ham,No * am working on the ringing u thing but have whole houseful of screaming brats so * am pulling my hair out! Loving u,,,
ham,"Hmm ok, i'll stay for like an hour cos my eye is really sore!",,,
ham,Lol or I could just starve and lose a pound by the end of the day.,,,
ham,Yes... I trust u to buy new stuff ASAP so I can try it out,,,
ham,make that 3! 4 fucks sake?! x,,,
ham,It only does simple arithmetic not percentages.,,,
ham,And also I've sorta blown him off a couple times recently so id rather not text him out of the blue looking for weed,,,
ham,"God picked up a flower and dippeditinaDEW, lovingly touched itwhichturnedinto u, and the he gifted tomeandsaid,THIS FRIEND IS 4U",,,
ham,How much r Ì_ willing to pay?,,,
ham,And do you have any one that can teach me how to ship cars.,,,
ham,I will come with karnan car. Please wait till 6pm will directly goto doctor.,,,
ham,Bognor it is! Should be splendid at this time of year.,,,
spam,This message is free. Welcome to the new & improved Sex & Dogging club! To unsubscribe from this service reply STOP. msgs@150p 18+only,,,
ham,"Haha, my friend tyler literally just asked if you could get him a dubsack",,,
ham,Wah... Okie okie... Muz make use of e unlimited... Haha... ,,,
ham,Wake me up at  &lt;#&gt;  am morning:),,,
ham,They released vday shirts and when u put it on it makes your bottom half naked instead of those white underwear.,,,
ham,Juz now havent woke up so a bit blur blur... Can? Dad went out liao... I cant cum now oso...,,,
ham,No she didnt. I will search online and let you know.,,,
ham,"Also sir, i sent you an email about how to log into the usc payment portal. I.ll send you another message that should explain how things are back home. Have a great weekend.",,,
ham,Same as u... Dun wan... Y u dun like me already ah... Wat u doing now? Still eating?,,,
ham,Why you Dint come with us.,,,
ham,"Uncle G, just checking up on you. Do have a rewarding month",,,
ham,Shant disturb u anymore... Jia you...,,,
ham,HI BABE U R MOST LIKELY TO BE IN BED BUT IM SO SORRY ABOUT TONIGHT! I REALLY WANNA SEE U TOMORROW SO CALL ME AT 9. LOVE ME XXX,,,
ham,Yeah that's the impression I got,,,
spam,"ou are guaranteed the latest Nokia Phone, a 40GB iPod MP3 player or a å£500 prize! Txt word: COLLECT to No: 83355! IBHltd LdnW15H 150p/Mtmsgrcvd18",,,
ham,Ok...,,,
ham,"K, I'll work something out",,,
spam,"For ur chance to win å£250 cash every wk TXT: PLAY to 83370. T's&C's www.music-trivia.net custcare 08715705022, 1x150p/wk.",,,
ham,I keep ten rs in my shelf:) buy two egg.,,,
ham,"Aight, sounds good. When do you want me to come down?",,,
ham,I will take care of financial problem.i will help:),,,
ham,Be happy there. I will come after noon,,,
spam,"Free-message: Jamster!Get the crazy frog sound now! For poly text MAD1, for real text MAD2 to 88888. 6 crazy sounds for just 3 GBP/week! 16+only! T&C's apply",,,
ham,Okay. I've seen it. So i should pick it on friday?,,,
ham,Yes i think so. I am in office but my lap is in room i think thats on for the last few days. I didnt shut that down,,,
ham,How come u got nothing to do?,,,
ham,Another month. I need chocolate weed and alcohol.,,,
ham,I hope your pee burns tonite.,,,
ham,Hi. Hope you had a good day. Have a better night.,,,
spam,"Your free ringtone is waiting to be collected. Simply text the password \MIX\"" to 85069 to verify. Get Usher and Britney. FML", PO Box 5249," MK17 92H. 450Ppw 16""",
spam,Hi if ur lookin 4 saucy daytime fun wiv busty married woman Am free all next week Chat now 2 sort time 09099726429 JANINExx Callså£1/minMobsmoreLKPOBOX177HP51FL,,,
ham,U definitely need a module from e humanities dis sem izzit? U wan 2 take other modules 1st?,,,
ham,Any way where are you and what doing.,,,
ham,Tell them no need to investigate about me anywhere.,,,
ham,Anything lar...,,,
spam,Great NEW Offer - DOUBLE Mins & DOUBLE Txt on best Orange tariffs AND get latest camera phones 4 FREE! Call MobileUpd8 free on 08000839402 NOW! or 2stoptxt T&Cs,,,
ham,Pls confirm the time to collect the cheque.,,,
ham,ARE YOU IN TOWN? THIS IS V. IMPORTANT,,,
spam,YES! The only place in town to meet exciting adult singles is now in the UK. Txt CHAT to 86688 now! 150p/Msg.,,,
ham,Yeah I imagine he would be really gentle. Unlike the other docs who treat their patients like turkeys.,,,
ham,Nope i'll come online now..,,,
spam,PRIVATE! Your 2003 Account Statement for 07808 XXXXXX shows 800 un-redeemed S. I. M. points. Call 08719899217 Identifier Code: 41685 Expires 07/11/04,,,
ham,HMM yeah if your not too grooved out! And im looking forward to my pound special :),,,
ham,How come guoyang go n tell her? Then u told her?,,,
ham,Just come home. I don't want u to be miserable,,,
ham,Me fine..absolutly fine,,,
ham,"Wow ... I love you sooo much, you know ? I can barely stand it ! I wonder how your day goes and if you are well, my love ... I think of you and miss you",,,
ham,Then. You are eldest know.,,,
ham,Sorry. || mail? || ,,,
spam,We currently have a message awaiting your collection. To collect your message just call 08718723815.,,,
ham,S.i think he is waste for rr..,,,
ham,You got called a tool?,,,
ham,God's love has no limit. God's grace has no measure. God's power has no boundaries. May u have God's endless blessings always in ur life...!! Gud ni8,,,
spam,FROM 88066 LOST å£12 HELP,,,
ham,Tmr then Ì_ brin lar... Aiya later i come n c lar... Mayb Ì_ neva set properly Ì_ got da help sheet wif Ì_...,,,
spam,"England v Macedonia - dont miss the goals/team news. Txt ur national team to 87077 eg ENGLAND to 87077 Try:WALES, SCOTLAND 4txt/Ì¼1.20 POBOXox36504W45WQ 16+",,,
ham,Send his number and give reply tomorrow morning for why you said that to him like that ok,,,
ham,And he's apparently bffs with carly quick now,,,
ham,No dear i was sleeping :-P,,,
ham,U should make a fb list,,,
ham,"Haha awesome, I might need to take you up on that, what you doin tonight?",,,
ham,No. I dont want to hear anything,,,
ham,Ugh I don't wanna get out of bed. It's so warm.,,,
ham,K..k:)how much does it cost?,,,
ham,Cold. Dont be sad dear,,,
ham,Hello. They are going to the village pub at 8 so either come here or there accordingly. Ok?,,,
ham,Take some small dose tablet for fever,,,
ham,"LOOK AT AMY URE A BEAUTIFUL, INTELLIGENT WOMAN AND I LIKE U A LOT. I KNOW U DONåÕT LIKE ME LIKE THAT SO DONåÕT WORRY.",,,
ham,Jos ask if u wana meet up?,,,
ham,One of best dialogue in cute reltnship..!! \Wen i Die," Dont Come Near My Body..!! Bcoz My Hands May Not Come 2 Wipe Ur Tears Off That Time..!Gud ni8""",,
ham,Have you had a good day? Mine was really busy are you up to much tomorrow night?,,,
ham,I think u have the wrong number.,,,
spam,EASTENDERS TV Quiz. What FLOWER does DOT compare herself to? D= VIOLET E= TULIP F= LILY txt D E or F to 84025 NOW 4 chance 2 WIN å£100 Cash WKENT/150P16+,,,
ham,You are gorgeous! keep those pix cumming :) thank you!,,,
spam,You are a winner U have been specially selected 2 receive å£1000 or a 4* holiday (flights inc) speak to a live operator 2 claim 0871277810910p/min (18+) ,,,
ham,Auntie huai juan never pick up her phone,,,
ham,U sick still can go shopping?,,,
ham,I've been barred from all B and Q stores for life!?This twat in orange dungerees came up to me and asked if I wanted decking? So I got the first punch in!!,,,
ham,"I.ll always be there, even if its just in spirit. I.ll get a bb soon. Just trying to be sure i need it.",,,
ham,"Mmmmm ... I loved waking to your words this morning ! I miss you too, my Love. I hope your day goes well and you are happy. I wait for us to be together again",,,
spam,"For your chance to WIN a FREE Bluetooth Headset then simply reply back with \ADP\""""",,,
ham,Is she replying. Has boye changed his phone number,,,
ham,Dear we got  &lt;#&gt;  dollars hi hi,,,
ham,"Hiya, sorry didn't hav signal. I haven't seen or heard from and neither has, which is unusual in itself! I'll put on the case and get him to sort it out! Hugs and snogs.",,,
ham,Not sure I have the stomach for it ...,,,
ham,"Lol ... Oh no babe, I wont be sliding into your place after midnight, but thanks for the invite",,,
ham,"I don't have anybody's number, I still haven't thought up a tactful way to ask alex",,,
ham,"Do 1 thing! Change that sentence into: \Because i want 2 concentrate in my educational career im leaving here..\""""",,,
ham,"Aight, text me tonight and we'll see what's up",,,
ham,Babe ? I lost you ... Will you try rebooting ?,,,
ham,No that just means you have a fat head,,,
ham,Ok. There may be a free gym about.,,,
ham,"Sorry, I'll call later",,,
ham,Yo! Howz u? girls never rang after india. L,,,
ham,"Haha good to hear, I'm officially paid and on the market for an 8th",,,
ham,Finally the match heading towards draw as your prediction.,,,
ham,"Ya, told..she was asking wats matter?",,,
spam,"For ur chance to win a å£250 wkly shopping spree TXT: SHOP to 80878. T's&C's www.txt-2-shop.com custcare 08715705022, 1x150p/wk",,,
ham,Thought praps you meant another one. Goodo! I'll look tomorrow ,,,
ham,They are just making it easy to pay back. I have  &lt;#&gt; yrs to say but i can pay back earlier. You get?,,,
ham,WE REGRET TO INFORM U THAT THE NHS HAS MADE A MISTAKE.U WERE NEVER ACTUALLY BORN.PLEASE REPORT 2 YOR LOCAL HOSPITAL 2B TERMINATED.WE R SORRY 4 THE INCONVENIENCE,,,
spam,Great News! Call FREEFONE 08006344447 to claim your guaranteed å£1000 CASH or å£2000 gift. Speak to a live operator NOW!,,,
ham,I think chennai well settled?,,,
ham,Hope youåÕre not having too much fun without me!! see u tomorrow love jess x,,,
ham,Yo you guys ever figure out how much we need for alcohol? Jay and I are trying to figure out how much we can safely spend on weed,,,
ham,"Princess, i like to make love  &lt;#&gt;  times per night. Hope thats not a problem!",,,
ham,"Hey , is * rite u put åÈ10 evey mnth is that all?",,,
spam,Freemsg: 1-month unlimited free calls! Activate SmartCall Txt: CALL to No: 68866. Subscriptn3gbp/wk unlimited calls Help: 08448714184 Stop?txt stop landlineonly,,,
ham,"Sorry battery died, yeah I'm here",,,
spam,U 447801259231 have a secret admirer who is looking 2 make contact with U-find out who they R*reveal who thinks UR so special-call on 09058094597,,,
spam,"FREE RING TONE just text \POLYS\"" to 87131. Then every week get a new tone. 0870737910216yrs only å£1.50/wk.""",,,
ham,"Aiyo... U always c our ex one... I dunno abt mei, she haven reply... First time u reply so fast... Y so lucky not workin huh, got bao by ur sugardad ah...gee.. ",,,
ham,Hey happy birthday...,,,
ham,Thank god they are in bed!,,,
ham,No b4 Thursday,,,
ham,Lol alright i was thinkin that too haha,,,
ham,"Come around  &lt;DECIMAL&gt; pm vikky..i'm otside nw, il come by tht time",,,
ham,"Thanks, I'll keep that in mind",,,
ham,My trip was ok but quite tiring lor. Uni starts today but it's ok 4 me cos i'm not taking any modules but jus concentrating on my final yr project.,,,
ham,Nope watching tv at home... Not going out. V bored...,,,
ham,Olol i printed out a forum post by a guy with the exact same  prob which was fixed with a gpu replacement. Hopefully they dont ignore that.,,,
ham,"Save yourself the stress. If the person has a dorm account, just send your account details and the money will be sent to you.",,,
ham,"A bit of Ur smile is my hppnss, a drop of Ur tear is my sorrow, a part of Ur heart is my life, a heart like mine wil care for U, forevr as my GOODFRIEND",,,
ham,I'm now but have to wait till 2 for the bus to pick me.,,,
ham,Aiyah sorry lor... I watch tv watch until i forgot 2 check my phone.,,,
ham,"Wa, ur openin sentence very formal... Anyway, i'm fine too, juz tt i'm eatin too much n puttin on weight...Haha... So anythin special happened?",,,
ham,"Dear,shall mail tonite.busy in the street,shall update you tonite.things are looking ok.varunnathu edukkukayee raksha ollu.but a good one in real sense.",,,
spam,Our records indicate u maybe entitled to 5000 pounds in compensation for the Accident you had. To claim 4 free reply with CLAIM to this msg. 2 stop txt STOP,,,
spam,"Urgent! Please call 0906346330. Your ABTA complimentary 4* Spanish Holiday or å£10,000 cash await collection SAE T&Cs BOX 47 PO19 2EZ 150ppm 18+",,,
ham,Much better now thanks lol,,,
ham,Dear how you. Are you ok?,,,
ham,Nope i'm not drivin... I neva develop da photos lei...,,,
ham,"Actually nvm, got hella cash, we still on for  &lt;#&gt; ish?",,,
ham,What happened to our yo date?,,,
ham,"Aight, tomorrow around  &lt;#&gt;  it is",,,
ham,Thanks for ve lovely wisheds. You rock,,,
ham,Your bill at 3 is å£33.65 so thats not bad!,,,
ham,"No idea, I guess we'll work that out an hour after we're supposed to leave since as usual nobody has any interest in figuring shit out before the last second",,,
spam,"Wan2 win a Meet+Greet with Westlife 4 U or a m8? They are currently on what tour? 1)Unbreakable, 2)Untamed, 3)Unkempt. Text 1,2 or 3 to 83049. Cost 50p +std text",,,
ham,Hey sathya till now we dint meet not even a single time then how can i saw the situation sathya.,,,
ham,Easy ah?sen got selected means its good..,,,
ham,Ok lor. I'm in town now lei.,,,
ham,Later i guess. I needa do mcat study too.,,,
ham,"K I'll head out in a few mins, see you there",,,
ham,ZOE IT JUST HIT ME 2 IM FUCKING SHITIN MYSELF IL DEFO TRY MY HARDEST 2 CUM 2MOROW LUV U MILLIONS LEKDOG,,,
ham,Ok... But bag again..,,,
spam,FreeMsg Today's the day if you are ready! I'm horny & live in your town. I love sex fun & games! Netcollex Ltd 08700621170150p per msg reply Stop to end,,,
ham,Which is weird because I know I had it at one point,,,
ham,U dun say so early hor... U c already then say...,,,
ham,Ok...,,,
spam,"all the lastest from Stereophonics, Marley, Dizzee Racal, Libertines and The Strokes! Win Nookii games with Flirt!! Click TheMob WAP Bookmark or text WAP to 82468",,,
ham,"Okies... I'll go yan jiu too... We can skip ard oso, go cine den go mrt one, blah blah blah... ",,,
ham,Pls i wont belive god.not only jesus.,,,
ham,Still chance there. If you search hard you will get it..let have a try :),,,
ham,No problem. Talk to you later,,,
ham,God bless.get good sleep my dear...i will pray!,,,
ham,How was txting and driving,,,
spam,"Sunshine Hols. To claim ur med holiday send a stamped self address envelope to Drinks on Us UK, PO Box 113, Bray, Wicklow, Eire. Quiz Starts Saturday! Unsub Stop",,,
ham,IM LATE TELLMISS IM ON MY WAY,,,
ham,What's happening with you. Have you gotten a job and have you begun registration for permanent residency,,,
ham,Pls clarify back if an open return ticket that i have can be preponed for me to go back to kerala.,,,
ham,Heart is empty without love.. Mind is empty without wisdom.. Eyes r empty without dreams &amp; Life is empty without frnds.. So Alwys Be In Touch. Good night &amp; sweet dreams,,,
ham,You have registered Sinco as Payee. Log in at icicibank.com and enter URN  &lt;#&gt;  to confirm. Beware of frauds. Do NOT share or disclose URN to anyone.,,,
ham,No da if you run that it activate the full version da.,,,
ham,K..k:)how about your training process?,,,
spam,Talk sexy!! Make new friends or fall in love in the worlds most discreet text dating service. Just text VIP to 83110 and see who you could meet.,,,
ham,HEY GIRL. HOW R U? HOPE U R WELL ME AN DEL R BAK! AGAIN LONG TIME NO C! GIVE ME A CALL SUM TIME FROM LUCYxx,,,
ham,What about this one then.,,,
